name,category,url,env_var,openbb_credential,data_type,ml_use,quality,free_tier,notes
Alpha Vantage,Market Data / Fundamentals,https://www.alphavantage.co/,ALPHA_VANTAGE_API_KEY,alpha_vantage_api_key,"OHLCV, fundamentals, FX, crypto, indicators","Feature engineering, prototyping, cross-asset signals",Media-alta,"Yes, rate-limited",Useful for prototypes; respect free-tier throttles.
Tiingo,Market Data / News,https://www.tiingo.com/,TIINGO_TOKEN,tiingo_token,"Equity prices, IEX data, news, crypto","Backtests, news features, cleaned daily prices",Alta,"Yes, limited",Stable daily price source for research.
Financial Modeling Prep,Fundamentals / Market Data,https://financialmodelingprep.com/,FMP_API_KEY,fmp_api_key,"Statements, ratios, profiles, prices","Fundamental factors, cross-sectional ML, screening",Media-alta,"Yes, limited",Validate fields and licensing before production use.
Polygon,Market Data,https://polygon.io/,POLYGON_API_KEY,polygon_api_key,"Stocks, options, indices, FX, crypto","Intraday features, backtests, event studies",Alta,"Yes, limited",Paid plans needed for many historical/intraday workflows.
Intrinio,Fundamentals / Market Data,https://intrinio.com/,INTRINIO_API_KEY,intrinio_api_key,"Fundamentals, estimates, prices, ownership",Fundamental ML and entity-level datasets,Alta,Developer/trial dependent,Endpoint access varies by subscription.
FRED,Macro,https://fred.stlouisfed.org/,FRED_API_KEY,fred_api_key,"Macro, rates, inflation, labor","Regime detection, macro alpha, risk features",Alta,Yes,Core source for macro regimes.
BLS,Macro / Labor,https://www.bls.gov/developers/,BLS_API_KEY,,"Labor market, CPI, PPI, productivity",Inflation/labor regimes and nowcasting,Alta,Yes,Official US labor and price data.
CFTC,Futures / Positioning,https://publicreporting.cftc.gov/,CFTC_APP_TOKEN,,"Commitments of Traders, futures positioning",Positioning and crowded-trade risk,Alta,Yes,Socrata token improves public endpoint limits.
Congress.gov,Government / Policy,https://api.congress.gov/,CONGRESS_GOV_API_KEY,,"Bills, amendments, members, policy events",Policy-event and legislative attention features,Media-alta,Yes,Useful for regulatory/policy signals.
EconDB,Macro,https://www.econdb.com/,ECONDB_API_KEY,,Global macro time series,Global macro panels and regimes,Media-alta,Terms dependent,Complements FRED for broader country coverage.
EIA,Energy / Macro,https://www.eia.gov/opendata/,EIA_API_KEY,,"Energy prices, inventories, production",Energy factors and inflation inputs,Alta,Yes,Official US energy data.
Nasdaq Data Link,Market / Alternative / Fundamentals,https://data.nasdaq.com/,NASDAQ_API_KEY,nasdaq_api_key,"Vendor datasets, prices, fundamentals, alternative data",Research datasets and factor inputs,Alta,Some free datasets,Former Quandl. Dataset-level licensing matters.
